Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
PENERGY (5133),MAIN,PETRA ENERGY BERHAD,"Energy Infrastructure, Equipment & Services ",398.97m,1.24,7.50,8.87,13.02
PENSONI (9997),MAIN,PENSONIC HOLDINGS BERHAD,Household Goods ,100.73m,0.64,-,0.00,-0.90
PENTA (7160),MAIN,PENTAMASTER CORPORATION BERHAD,Technology Equipment ,3.177b,4.46,35.65,0.45,12.73
PERDANA (7108),MAIN,PERDANA PETROLEUM BERHAD,"Energy Infrastructure, Equipment & Services ",732.81m,0.33,16.50,0.00,6.67
PERMAJU (7080),MAIN,PERMAJU INDUSTRIES BERHAD,Automotive ,87.70m,0.05,-,0.00,-3.33
PERSTIM (5436),MAIN,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,Metals ,373.09m,2.89,-,3.46,-5.20
PERTAMA (8532),MAIN,PERTAMA DIGITAL BERHAD,Personal Goods ,1.100b,2.51,-,0.00,-37.75
PESONA (8311),MAIN,PESONA METRO HOLDINGS BERHAD,Construction ,118.15m,0.17,12.41,0.00,6.06
PESTECH (5219),MAIN,PESTECH INTERNATIONAL BERHAD,Industrial Engineering ,233.17m,0.24,-,0.00,-
PETDAG (5681),MAIN,PETRONAS DAGANGAN BHD,Retailers ,21.896b,22.04,23.22,3.63,16.34
PETGAS (6033),MAIN,PETRONAS GAS BERHAD,"Gas, Water & Multi-utilities ",35.498b,17.94,19.51,4.01,13.42
PETRONM (3042),MAIN,PETRON MALAYSIA REFINING & MARKETING BHD,Oil & Gas Producers ,1.256b,4.65,4.61,5.38,11.24
PGB (0091),MAIN,PROPEL GLOBAL BERHAD,"Energy Infrastructure, Equipment & Services ",94.62m,0.14,31.82,0.00,2.91
PGF (8117),MAIN,PGF CAPITAL BERHAD,Building Materials ,289.04m,1.76,16.45,1.14,8.21
PGLOBE (3611),MAIN,PARAGON GLOBE BERHAD,Property ,186.66m,0.25,-,0.00,-0.28
PHARMA (7081),MAIN,PHARMANIAGA BERHAD,Pharmaceuticals ,511.64m,0.36,-,5.35,-
PHB (4464),MAIN,PEGASUS HEIGHTS BERHAD,Property ,54.11m,0.01,-,0.00,-4.17
PICORP (7201),MAIN,PROGRESSIVE IMPACT CORPORATION BERHAD,Industrial Services ,55.93m,0.09,-,0.00,-7.71
PIE (7095),MAIN,P.I.E. INDUSTRIAL BERHAD,"Industrial Materials, Components & Equipment ",1.371b,3.57,18.18,1.96,12.35
PINEAPP (0006),ACE,PINEAPPLE RESOURCES BERHAD,Digital Services ,37.35m,0.77,-,0.00,-15.72
PINEPAC (1902),MAIN,PINEHILL PACIFIC BERHAD,Plantation ,47.19m,0.32,-,0.00,-4.96
PJBUMI (7163),MAIN,PJBUMI BERHAD,Industrial Services ,66.83m,0.82,-,0.00,-
PLABS (0171),ACE,PETERLABS HOLDINGS BERHAD,Agricultural Products ,55.04m,0.20,16.00,2.00,4.42
PLB (7055),MAIN,PLB ENGINEERING BERHAD,Property ,118.01m,1.05,-,0.00,-22.01
PLENITU (5075),MAIN,PLENITUDE BERHAD,Property ,526.52m,1.38,7.48,2.17,4.25
PLINTAS (5320),MAIN,PROLINTAS INFRA BUSINESS TRUST,N/A,1.056b,0.96,-,0.00,-
PLS (9695),MAIN,PLS PLANTATIONS BERHAD,Plantation ,351.70m,0.80,-,0.00,-12.90
PLYTEC (0289),ACE,PLYTEC HOLDING BERHAD,Industrial Services ,151.52m,0.25,-,0.00,-
PMBTECH (7172),MAIN,PMB TECHNOLOGY BERHAD,Metals ,4.227b,2.60,93.53,0.00,4.15
PMCORP (4081),MAIN,PAN MALAYSIA CORPORATION BERHAD,"Travel, Leisure & Hospitality ",143.07m,0.19,3.85,3.24,13.63
PMETAL (8869),MAIN,PRESS METAL ALUMINIUM HOLDINGS BERHAD,Metals ,38.561b,4.68,31.75,1.50,17.55
PMHLDG (1287),MAIN,PAN MALAYSIA HOLDINGS BERHAD,"Travel, Leisure & Hospitality ",176.48m,0.19,-,0.00,-4.42
PNEPCB (6637),MAIN,PNE PCB BERHAD,"Industrial Materials, Components & Equipment ",30.83m,0.06,-,0.00,-25.40
POHKONG (5080),MAIN,POH KONG HOLDINGS BERHAD,Retailers ,385.73m,0.94,4.61,2.13,10.45
POHUAT (7088),MAIN,POH HUAT RESOURCES HOLDINGS BERHAD,Household Goods ,414.67m,1.49,13.73,4.70,5.32
POLYDM (03031),LEAP,POLYDAMIC GROUP BERHAD,"Industrial Materials, Components & Equipment ",66.18m,0.75,-,1.33,-
POS (4634),MAIN,POS MALAYSIA BERHAD,Transportation & Logistics Services ,375.73m,0.48,-,0.00,-32.02
PPB (4065),MAIN,PPB GROUP BERHAD,Food & Beverages ,22.534b,15.84,16.16,2.65,5.14
PPHB (8273),MAIN,PUBLIC PACKAGES HOLDINGS BHD,Packaging Materials ,211.82m,0.80,4.37,0.48,12.38
PPJACK (0242),ACE,PAPPAJACK BERHAD,Other Financials ,791.25m,1.03,39.31,0.49,8.19
PRESTAR (9873),MAIN,PRESTAR RESOURCES BERHAD,Metals ,183.90m,0.51,7.10,4.90,5.89
PRG (7168),MAIN,PRG HOLDINGS BERHAD,Personal Goods ,60.43m,0.14,-,0.00,-6.91
PRIVA (0123),ACE,PRIVASIA TECHNOLOGY BERHAD,Telecommunications Equipment ,61.40m,0.10,90.91,0.00,1.10
PRKCORP (8346),MAIN,PERAK CORPORATION BERHAD,Transportation & Logistics Services ,44.50m,0.45,16.60,0.00,2.82
PRTASCO (5070),MAIN,PROTASCO BERHAD,Construction ,113.94m,0.23,17.56,0.00,2.15
PTARAS (9598),MAIN,PINTARAS JAYA BHD,Construction ,265.38m,1.60,-,3.12,-1.19
PTRANS (0186),MAIN,PERAK TRANSIT BERHAD,"Travel, Leisure & Hospitality ",868.69m,0.78,13.36,2.56,6.52
PTRB (0260),ACE,PT RESOURCES HOLDINGS BERHAD,Food & Beverages ,272.86m,0.51,4.82,1.27,29.39
PTT (7010),MAIN,PTT SYNERGY GROUP BERHAD,Property ,219.76m,1.20,-,0.00,-0.11
PUC (0007),ACE,PUC BERHAD,Media ,135.73m,0.06,-,0.00,-
PUNCAK (6807),MAIN,PUNCAK NIAGA HOLDINGS BERHAD,Construction ,166.24m,0.37,18.78,0.00,0.67
PWF (7134),MAIN,PWF CONSOLIDATED BERHAD,Agricultural Products ,290.84m,0.92,5.75,5.46,12.72
PWORTH (7123),MAIN,PRICEWORTH INTERNATIONAL BERHAD,Wood & Wood Products ,152.34m,0.10,-,0.00,-
PWROOT (7237),MAIN,POWER ROOT BERHAD,Food & Beverages ,757.98m,1.64,15.21,7.16,14.57
PWRWELL (0217),ACE,POWERWELL HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",235.12m,0.41,14.67,4.94,18.40
QES (0196),MAIN,QES GROUP BERHAD,"Industrial Materials, Components & Equipment ",513.00m,0.62,27.83,1.63,10.52
QL (7084),MAIN,QL RESOURCES BERHAD,Agricultural Products ,14.505b,5.96,35.16,1.17,14.12
QUALITY (7544),MAIN,QUALITY CONCRETE HOLDINGS BERHAD,Building Materials ,64.34m,1.11,-,0.00,-12.19
RADIUM (5313),MAIN,RADIUM DEVELOPMENT BERHAD,Property ,1.422b,0.41,83.67,2.44,2.13
RALCO (7498),MAIN,RALCO CORPORATION BERHAD,Chemicals ,38.61m,0.76,-,0.00,-6.95
RAMSSOL (0236),ACE,RAMSSOL GROUP BERHAD,Software ,143.53m,0.45,21.84,0.00,7.63
RANHILL (5272),MAIN,RANHILL UTILITIES BERHAD,"Gas, Water & Multi-utilities ",1.413b,1.09,24.44,2.29,7.31
RAPID (7765),MAIN,RAPID SYNERGY BERHAD,Property ,78.57m,0.74,-,0.00,-
RCECAP (9296),MAIN,RCE CAPITAL BERHAD,Other Financials ,1.979b,2.67,13.69,4.49,17.73
REACH (5256),MAIN,REACH ENERGY BERHAD,Oil & Gas Producers ,63.87m,0.03,-,0.00,-102.78
REDIDEA (03002),LEAP,RED IDEAS HOLDINGS BERHAD,Digital Services ,29.40m,0.28,-,0.00,-
REDTONE (0032),MAIN,REDTONE DIGITAL BERHAD,Telecommunications Service Providers ,758.98m,0.97,19.02,2.58,15.00
REKATECH (0081),ACE,REKATECH CAPITAL BERHAD,Industrial Services ,29.60m,0.05,-,0.00,-27.00
RENEUCO (7130),MAIN,RENEUCO BERHAD,Personal Goods ,89.76m,0.08,-,0.00,-
RESINTC (7232),MAIN,RESINTECH BERHAD,Building Materials ,101.78m,0.52,15.20,0.00,3.73
REVENUE (0200),MAIN,REVENUE GROUP BERHAD,Digital Services ,105.43m,0.19,-,0.00,-
REX (9946),MAIN,REX INDUSTRY BERHAD,Food & Beverages ,75.63m,0.12,-,0.00,-42.60
REXIT (0106),ACE,REXIT BERHAD,Software ,223.41m,1.18,17.61,4.24,26.80
RGB (0037),MAIN,RGB INTERNATIONAL BHD,"Travel, Leisure & Hospitality ",495.44m,0.32,13.56,4.38,13.88
RGS (03052),LEAP,RAY GO SOLAR HOLDINGS BERHAD,Industrial Services ,45.90m,0.18,-,0.00,-
RGTBHD (9954),MAIN,RGT BERHAD,Chemicals ,232.65m,0.22,2200.00,2.73,0.07
RGTECH (0202),ACE,RADIANT GLOBALTECH BERHAD,Digital Services ,186.45m,0.36,24.65,0.00,10.21
RHBBANK (1066),MAIN,RHB BANK BERHAD,Banking ,24.475b,5.71,8.72,7.01,9.09
RHONEMA (5278),MAIN,RHONE MA HOLDINGS BERHAD,Agricultural Products ,150.43m,0.68,12.43,2.94,7.49
RKI (7006),MAIN,RHONG KHEN INTERNATIONAL BERHAD,Household Goods ,257.50m,1.32,17.10,3.03,2.16
RL (0219),MAIN,RESERVOIR LINK ENERGY BHD,"Energy Infrastructure, Equipment & Services ",99.80m,0.32,-,0.00,-
ROHAS (9741),MAIN,ROHAS TECNIC BERHAD,Industrial Engineering ,181.97m,0.39,50.00,0.00,1.12
RPLANET (03036),LEAP,REDPLANET BERHAD,Digital Services ,36.62m,0.22,-,3.53,-
RSAWIT (5113),MAIN,RIMBUNAN SAWIT BERHAD,Plantation ,479.80m,0.24,19.58,0.00,6.67
RSENA (5270),MAIN,RED SENA BERHAD,Special Purpose Acquisition Company ,505.00m,0.51,-,0.00,-
RTSTECH (03039),LEAP,RTS TECHNOLOGY HOLDINGS BERHAD,Software ,20.53m,0.17,-,1.52,-
RVIEW (2542),MAIN,RIVERVIEW RUBBER ESTATES BERHAD,Plantation ,204.93m,3.16,32.08,7.91,1.79
S&FCAP (8745),MAIN,S & F CAPITAL BERHAD,Wood & Wood Products ,55.04m,0.10,18.87,0.00,4.82
SAB (5134),MAIN,SOUTHERN ACIDS (M) BERHAD,Chemicals ,443.67m,3.24,-,1.54,-0.15
SAFETY (03056),LEAP,SAFETYWARE GROUP BERHAD,"Industrial Materials, Components & Equipment ",60.65m,0.19,-,0.00,-
SALCON (8567),MAIN,SALCON BERHAD,"Gas, Water & Multi-utilities ",273.35m,0.27,-,0.00,-5.55
SALUTE (0183),MAIN,SALUTICA BERHAD,Personal Goods ,332.67m,0.78,-,0.00,-32.33
SAM (9822),MAIN,SAM ENGINEERING & EQUIPMENT (M) BERHAD,"Industrial Materials, Components & Equipment ",3.270b,4.83,32.16,0.52,8.89
SAMAIDEN (0223),MAIN,SAMAIDEN GROUP BERHAD,Industrial Services ,547.83m,1.32,49.07,0.38,9.24
SAMCHEM (5147),MAIN,SAMCHEM HOLDINGS BERHAD,Chemicals ,331.84m,0.61,10.78,3.93,10.68
SANCY (03057),LEAP,SANCY BERHAD,Software ,237.71m,0.35,-,0.00,-
SANICHI (0133),ACE,SANICHI TECHNOLOGY BERHAD,"Industrial Materials, Components & Equipment ",28.06m,0.02,-,0.00,-
SAPIND (7811),MAIN,SAPURA INDUSTRIAL BERHAD,Auto Parts ,64.41m,0.89,8.71,6.67,6.64
SAPNRG (5218),MAIN,SAPURA ENERGY BERHAD,"Energy Infrastructure, Equipment & Services ",918.80m,0.05,-,0.00,-
SAPRES (4596),MAIN,SAPURA RESOURCES BERHAD,Property ,46.07m,0.33,-,0.00,-19.75
SASBADI (5252),MAIN,SASBADI HOLDINGS BERHAD,Media ,67.60m,0.16,8.56,4.84,5.17
SAUDEE (5157),MAIN,SAUDEE GROUP BERHAD,Food & Beverages ,46.86m,0.03,-,0.00,-6.28
SBAGAN (2569),MAIN,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,Plantation ,301.15m,4.54,11.56,1.54,3.97
SBCCORP (5207),MAIN,SBC CORPORATION BERHAD,Property ,91.64m,0.36,-,0.00,-0.59
SBH (0300),ACE,SBH MARINE HOLDINGS BERHAD,Property ,-,0.00,-,-,-
SCABLE (5170),MAIN,SARAWAK CABLE BERHAD,"Industrial Materials, Components & Equipment ",69.82m,0.18,-,0.00,-
SCBUILD (0109),ACE,SC ESTATE BUILDER BERHAD,Construction ,32.22m,0.01,-,0.00,-
SCC (0158),ACE,SCC HOLDINGS BERHAD,Consumer Services ,45.17m,0.32,26.67,3.12,3.56
SCGBHD (0225),MAIN,SOUTHERN CABLE GROUP BERHAD,"Industrial Materials, Components & Equipment ",436.26m,0.55,14.81,0.51,9.44
SCGM (7247),MAIN,SCGM BHD,Packaging Materials ,122.94m,0.64,-,0.00,-
SCIB (9237),MAIN,SARAWAK CONSOLIDATED INDUSTRIES BERHAD,Building Materials ,195.27m,0.31,-,0.00,-13.45
SCICOM (0099),MAIN,SCICOM (MSC) BERHAD,Industrial Services ,383.89m,1.08,13.09,7.41,25.00
SCIENTX (4731),MAIN,SCIENTEX BERHAD,Packaging Materials ,6.391b,4.12,12.69,2.43,13.99
SCIPACK (8125),MAIN,SCIENTEX PACKAGING (AYER KEROH) BERHAD,Packaging Materials ,719.90m,2.05,27.67,2.44,6.62
SCNWOLF (7239),MAIN,SCANWOLF CORPORATION BERHAD,Building Materials ,88.11m,0.44,-,0.00,-22.04
SCOMIES (7045),MAIN,SCOMI ENERGY SERVICES BHD,"Energy Infrastructure, Equipment & Services ",2.34m,0.01,-,0.00,-
SCOMNET (0001),MAIN,SUPERCOMNET TECHNOLOGIES BERHAD,Health Care Equipment & Services ,1.049b,1.28,35.26,1.56,7.72
SCOPE (0028),ACE,SCOPE INDUSTRIES BERHAD,"Industrial Materials, Components & Equipment ",144.30m,0.13,-,0.00,-1.17
SDRED (2224),MAIN,SELANGOR DREDGING BERHAD,Property ,266.33m,0.63,10.10,4.00,3.01
SDS (0212),MAIN,SDS GROUP BERHAD,Food & Beverages ,329.75m,0.81,11.32,1.61,23.70
SEACERA (7073),MAIN,SEACERA GROUP BERHAD,Building Materials ,127.54m,0.21,20.10,0.00,0.89
SEAL (4286),MAIN,SEAL INCORPORATED BERHAD,Property ,233.27m,0.56,24.45,0.00,2.66
SEALINK (5145),MAIN,SEALINK INTERNATIONAL BERHAD,Transportation Equipment ,100.00m,0.20,-,0.00,-1.36
SEB (5163),MAIN,SEREMBAN ENGINEERING BERHAD,Industrial Engineering ,51.20m,0.64,15.53,0.00,9.36
SEDANIA (0178),ACE,SEDANIA INNOVATOR BERHAD,Telecommunications Equipment ,69.42m,0.19,-,0.00,-
SEEHUP (7053),MAIN,SEE HUP CONSOLIDATED BERHAD,Transportation & Logistics Services ,72.38m,0.90,-,3.00,-3.56
SEERS (03009),LEAP,SEERS BERHAD,Household Goods ,25.76m,0.10,-,0.00,-
SEG (9792),MAIN,SEG INTERNATIONAL BHD,Consumer Services ,822.73m,0.65,71.43,7.69,9.01
SEM (5250),MAIN,7-ELEVEN MALAYSIA HOLDINGS BERHAD,Retailers ,2.320b,1.98,8.39,2.73,72.62
SENDAI (5205),MAIN,EVERSENDAI CORPORATION BERHAD,Construction ,222.61m,0.29,8.36,0.00,7.26
SENFONG (5308),MAIN,SENG FONG HOLDINGS BERHAD,Industrial Services ,550.10m,1.06,16.80,2.83,17.05
SENHENG (5305),MAIN,SENHENG NEW RETAIL BERHAD,Retailers ,465.00m,0.31,18.24,3.87,4.68
SENTRAL (5123),MAIN,SENTRAL REIT,Real Estate Investment Trusts ,932.49m,0.78,12.83,8.56,5.40
SERBADK (5279),MAIN,SERBA DINAMIK HOLDINGS BERHAD,"Energy Infrastructure, Equipment & Services ",74.54m,0.02,-,0.00,-472.88
SERNKOU (7180),MAIN,SERN KOU RESOURCES BERHAD,Household Goods ,900.21m,0.84,143.97,0.00,2.64
SERSOL (0055),ACE,SERSOL BERHAD,Chemicals ,69.49m,0.10,-,0.00,-
SFPTECH (0251),ACE,SFP TECH HOLDINGS BERHAD,Semiconductors ,1.692b,0.71,43.25,0.57,20.38
SGBHD (03033),LEAP,SUPERGENICS BERHAD,Industrial Services ,57.84m,0.50,-,0.00,-
SHANG (5517),MAIN,SHANGRI-LA HOTELS (MALAYSIA) BERHAD,"Travel, Leisure & Hospitality ",897.60m,2.04,54.99,3.43,2.05
SHCHAN (4316),MAIN,SIN HENG CHAN (MALAYA) BERHAD,Plantation ,101.04m,0.35,14.20,0.00,2.64
SHH (7412),MAIN,SHH RESOURCES HOLDINGS BERHAD,Household Goods ,122.99m,1.23,32.03,0.00,4.74
SHL (6017),MAIN,SHL CONSOLIDATED BHD,Property ,520.57m,2.15,7.85,5.58,7.37
SIAB (0241),ACE,SIAB HOLDINGS BERHAD,Construction ,73.70m,0.13,-,0.00,-40.78
SIGN (7246),MAIN,SIGNATURE INTERNATIONAL BERHAD,Household Goods ,703.59m,1.09,13.26,0.00,12.65
SIME (4197),MAIN,SIME DARBY BERHAD,Automotive ,18.198b,2.67,4.87,4.87,19.59
SIMEPLT (5285),MAIN,SIME DARBY PLANTATION BERHAD,Plantation ,30.014b,4.34,16.13,2.14,10.47
SIMEPROP (5288),MAIN,SIME DARBY PROPERTY BERHAD,Property ,6.189b,0.91,15.17,2.75,4.05
SINARAN (5172),MAIN,SINARAN ADVANCE GROUP BERHAD,Personal Goods ,54.90m,0.06,-,0.00,-18.95
SJC (9431),MAIN,SENI JAYA CORPORATION BERHAD,Media ,98.23m,0.46,-,0.00,-
SKBSHUT (7115),MAIN,SKB SHUTTERS CORPORATION BERHAD,Building Materials ,82.52m,0.63,5.89,0.00,11.54
SKHAWK (03049),LEAP,STEEL HAWK BERHAD,"Energy Infrastructure, Equipment & Services ",44.00m,0.11,-,2.00,-
SKPRES (7155),MAIN,SKP RESOURCES BHD,"Industrial Materials, Components & Equipment ",1.446b,0.93,15.68,4.86,10.54
SKYWLD (5315),MAIN,SKYWORLD DEVELOPMENT BERHAD,Property ,645.00m,0.65,4.47,4.65,17.61
SLIC (03008),LEAP,SL INNOVATION CAPITAL BERHAD,Digital Services ,85.09m,0.67,-,4.48,-
SLP (7248),MAIN,SLP RESOURCES BERHAD,Packaging Materials ,301.11m,0.95,28.36,5.00,5.56
SLVEST (0215),MAIN,SOLARVEST HOLDINGS BERHAD,Industrial Services ,1.046b,1.56,35.14,0.00,13.06
SMCAP (9776),MAIN,SINMAH CAPITAL BERHAD,Agricultural Products ,39.56m,0.10,-,0.00,-13.71
SMETRIC (0203),ACE,SECUREMETRIC BERHAD,Software ,112.53m,0.20,-,0.00,-1.97
SMI (4375),MAIN,SOUTH MALAYSIA INDUSTRIES BERHAD,Property ,113.37m,0.54,-,0.00,-
SMILE (03023),LEAP,SMILE-LINK HEALTHCARE GLOBAL BERHAD,Health Care Providers ,41.62m,0.17,-,0.00,-
SMISCOR (7132),MAIN,SMIS CORPORATION BERHAD,Auto Parts ,35.17m,0.79,-,0.00,-0.45
SMRT (0117),ACE,SMRT HOLDINGS BERHAD,Digital Services ,382.40m,0.84,-,0.00,-
SMTRACK (0169),ACE,SMTRACK BERHAD,Technology Equipment ,64.49m,0.05,-,0.00,-
SNOWFIT (03054),LEAP,SNOWFIT GROUP BERHAD,Household Goods ,42.22m,0.20,-,0.85,-
SNS (0259),ACE,SNS NETWORK TECHNOLOGY BERHAD,Technology Equipment ,564.47m,0.35,17.68,1.43,13.20
SNTORIA (5213),MAIN,SENTORIA GROUP BERHAD,Property ,40.49m,0.07,-,0.00,-
SOLID (5242),MAIN,SOLID AUTOMOTIVE BERHAD,Automotive ,96.08m,0.19,15.42,1.62,3.08
SOLUTN (0093),ACE,SOLUTION GROUP BERHAD,Digital Services ,97.20m,0.20,400.00,0.00,0.29
SOP (5126),MAIN,SARAWAK OIL PALMS BERHAD,Plantation ,2.733b,3.07,9.10,3.26,8.54
SPRING (0216),ACE,SPRING ART HOLDINGS BERHAD,Household Goods ,85.22m,0.21,15.53,0.00,6.29
SPRITZER (7103),MAIN,SPRITZER BHD,Food & Beverages ,715.26m,2.24,14.45,1.86,9.30
SPSETIA (8664),MAIN,S P SETIA BERHAD,Property ,6.503b,1.46,21.79,0.92,2.31
SPTOTO (1562),MAIN,SPORTS TOTO BERHAD,"Travel, Leisure & Hospitality ",1.878b,1.39,11.05,6.47,16.13
SRIDGE (0129),ACE,SILVER RIDGE HOLDINGS BHD,Telecommunications Equipment ,83.48m,0.38,-,0.00,-2.70
SSB8 (0045),ACE,SOUTHERN SCORE BUILDERS BERHAD,Construction ,829.50m,0.37,22.53,2.74,23.14
SSF (0287),ACE,SSF HOME GROUP BERHAD,Retailers ,228.00m,0.29,-,1.75,-
SSTEEL (5665),MAIN,SOUTHERN STEEL BERHAD,Metals ,351.82m,0.59,-,0.00,-11.66
STAR (6084),MAIN,STAR MEDIA GROUP BERHAD,Media ,310.20m,0.42,41.58,2.38,1.12
STRAITS (0080),ACE,STRAITS ENERGY RESOURCES BERHAD,Transportation & Logistics Services ,124.31m,0.13,16.45,0.00,4.34
SUBUR (6904),MAIN,SUBUR TIASA HOLDINGS BERHAD,Wood & Wood Products ,192.28m,0.92,-,0.00,-2.08
SUCCESS (7207),MAIN,SUCCESS TRANSFORMER CORPORATION BERHAD,"Industrial Materials, Components & Equipment ",227.22m,0.90,10.84,1.56,5.29
SUNCON (5263),MAIN,SUNWAY CONSTRUCTION GROUP BERHAD,Construction ,3.711b,2.87,25.58,2.09,17.53
SUNMOW (03050),LEAP,SUNMOW HOLDING BERHAD,Construction ,247.98m,1.06,-,1.56,-
SUNREIT (5176),MAIN,SUNWAY REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts ,5.240b,1.53,15.50,6.08,6.74
SUNSURIA (3743),MAIN,SUNSURIA BERHAD,Property ,456.92m,0.51,31.48,0.00,1.36
SUNVIEW (0262),ACE,SUNVIEW GROUP BERHAD,Industrial Services ,326.74m,0.64,30.77,0.00,9.04
SUNWAY (5211),MAIN,SUNWAY BERHAD,Diversified Industrials ,18.950b,3.40,25.68,1.62,6.16
SUNZEN (0148),ACE,SUNZEN BIOTECH BERHAD,Agricultural Products ,241.61m,0.34,-,0.00,-
SUPERLN (7235),MAIN,SUPERLON HOLDINGS BERHAD,Building Materials ,161.60m,1.01,15.33,2.72,6.80
SUPERMX (7106),MAIN,SUPERMAX CORPORATION BERHAD,Health Care Equipment & Services ,2.245b,0.83,-,4.24,-1.95
SUPREME (03018),LEAP,SUPREME CONSOLIDATED RESOURCES BERHAD,Consumer Services ,77.40m,0.65,-,4.53,-
SURIA (6521),MAIN,SURIA CAPITAL HOLDINGS BERHAD,Transportation & Logistics Services ,771.18m,2.23,22.08,1.79,3.20
SWIFT (5303),MAIN,SWIFT HAULAGE BERHAD,Transportation & Logistics Services ,458.49m,0.52,7.14,3.11,8.99
SWKPLNT (5135),MAIN,SARAWAK PLANTATION BERHAD,Plantation ,607.60m,2.17,9.43,4.61,8.59
SWSCAP (7186),MAIN,SWS CAPITAL BERHAD,Household Goods ,72.55m,0.24,-,0.00,-4.47
SYCAL (9717),MAIN,SYCAL VENTURES BERHAD,Construction ,85.35m,0.21,89.13,0.00,0.34
SYGROUP (5173),MAIN,SHIN YANG GROUP BERHAD,Transportation & Logistics Services ,720.00m,0.60,5.05,5.00,10.90
SYMLIFE (1538),MAIN,SYMPHONY LIFE BERHAD,Property ,272.25m,0.38,-,0.00,-6.39
SYNERGY (0279),ACE,SYNERGY HOUSE BERHAD,Household Goods ,407.50m,0.82,15.01,1.96,27.15
SYSTECH (0050),ACE,SYSTECH BHD,Software ,146.04m,0.42,-,0.00,-34.00
T7GLOBAL (7228),MAIN,T7 GLOBAL BERHAD,"Energy Infrastructure, Equipment & Services ",394.71m,0.52,11.93,0.00,9.91
TAANN (5012),MAIN,TA ANN HOLDINGS BERHAD,Plantation ,1.824b,4.10,11.66,6.10,8.64
TAFI (7211),MAIN,TAFI INDUSTRIES BERHAD,Household Goods ,210.58m,0.56,264.29,0.00,1.00
TAKAFUL (6139),MAIN,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,Insurance ,2.989b,3.57,8.62,3.92,20.61
TALAMT (2259),MAIN,TALAM TRANSFORM BERHAD,Property ,42.95m,0.01,-,0.00,-6.10
TALIWRK (8524),MAIN,TALIWORKS CORPORATION BERHAD,"Gas, Water & Multi-utilities ",1.613b,0.80,38.46,7.44,6.03
TAMBUN (5191),MAIN,TAMBUN INDAH LAND BERHAD,Property ,415.15m,0.95,10.14,5.93,5.45
TANCO (2429),MAIN,TANCO HOLDINGS BERHAD,Property ,1.748b,0.84,182.61,0.00,3.43
TAS (5149),MAIN,TAS OFFSHORE BERHAD,Transportation Equipment ,105.30m,0.59,5.06,1.71,21.13
TASCO (5140),MAIN,TASCO BERHAD,Transportation & Logistics Services ,656.00m,0.82,9.99,4.27,10.80
TASHIN (0211),ACE,TASHIN HOLDINGS BERHAD,Metals ,129.13m,0.37,20.90,5.41,2.39
TAWIN (7097),MAIN,TA WIN HOLDINGS BERHAD,Metals ,103.06m,0.03,-,0.00,-14.20
TCHONG (4405),MAIN,TAN CHONG MOTOR HOLDINGS BERHAD,Automotive ,584.64m,0.87,-,3.45,-4.56
TCS (0221),ACE,TCS GROUP HOLDINGS BERHAD,Construction ,75.08m,0.18,-,0.00,-58.77
TDEX (0132),ACE,TECHNODEX BHD,Software ,54.85m,0.07,-,0.00,-44.50
TDM (2054),MAIN,TDM BERHAD,Plantation ,482.41m,0.28,38.89,0.64,1.89
TECGUAN (7439),MAIN,TECK GUAN PERDANA BERHAD,Agricultural Products ,72.17m,1.80,9.38,2.78,6.82
TECHBASE (8966),MAIN,TECHBASE INDUSTRIES BERHAD,Personal Goods ,56.73m,0.21,-,0.00,-10.74
TECHBND (5289),MAIN,TECHBOND GROUP BERHAD,Chemicals ,227.56m,0.43,14.55,1.76,8.85
TECHNAX (2739),MAIN,TECHNA-X BERHAD,Other Energy Resources ,22.15m,0.01,-,0.00,-
TEKSENG (7200),MAIN,TEK SENG HOLDINGS BERHAD,Household Goods ,104.59m,0.29,15.76,3.45,2.42
TELADAN (0230),MAIN,TELADAN GROUP BERHAD,Property ,893.60m,1.10,32.93,1.18,5.22
TENAGA (5347),MAIN,TENAGA NASIONAL BHD,Electricity ,66.786b,11.54,24.11,3.99,4.71
TEOSENG (7252),MAIN,TEO SENG CAPITAL BERHAD,Agricultural Products ,576.02m,1.92,3.70,4.17,31.86
TEXCHEM (8702),MAIN,TEXCHEM RESOURCES BERHAD,Diversified Industrials ,112.47m,0.89,-,0.00,-5.64
TEXCYCL (0089),ACE,TEX CYCLE TECHNOLOGY (M) BERHAD,Industrial Services ,247.22m,0.97,15.90,0.62,10.98
TFP (0145),ACE,TFP SOLUTIONS BERHAD,Digital Services ,26.36m,0.05,-,0.00,-0.29
TGL (9369),MAIN,TEO GUAN LEE CORPORATION BERHAD,Personal Goods ,95.90m,1.13,8.30,7.08,10.16
TGUAN (7034),MAIN,THONG GUAN INDUSTRIES BERHAD,Packaging Materials ,752.63m,1.87,10.60,2.27,7.54
THETA (9075),MAIN,THETA EDGE BERHAD,Digital Services ,140.38m,1.19,14.66,1.26,11.60
