Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
CSCSTEL (5094),MAIN,CSC STEEL HOLDINGS BERHAD,Metals ,516.80m,1.36,10.45,2.21,5.34
CTOS (5301),MAIN,CTOS DIGITAL BERHAD,Digital Services ,3.234b,1.40,27.34,2.37,19.69
CUSCAPI (0051),MAIN,CUSCAPI BERHAD,Software ,165.35m,0.18,-,0.00,-
CVIEW (5049),MAIN,COUNTRY VIEW BERHAD,Property ,128.00m,1.28,16.12,5.47,1.93
CWG (9423),MAIN,CWG HOLDINGS BERHAD,Consumer Services ,45.96m,0.28,11.02,2.68,3.97
CYBERE (5166),MAIN,CYBERJAYA EDUCATION GROUP BERHAD,Consumer Services ,161.19m,0.96,-,0.00,-
CYL (7157),MAIN,CYL CORPORATION BERHAD,Packaging Materials ,58.50m,0.59,-,0.85,-2.50
CYPARK (5184),MAIN,CYPARK RESOURCES BERHAD,Industrial Services ,757.00m,0.92,-,0.00,-
D&O (7204),MAIN,D&O GREEN TECHNOLOGIES BERHAD,Semiconductors ,4.049b,3.27,91.85,0.40,4.98
DANCO (5276),MAIN,DANCOMECH HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",194.72m,0.44,9.26,5.11,9.90
DATAPRP (8338),MAIN,DATAPREP HOLDINGS BHD,Digital Services ,84.87m,0.12,-,0.00,-45.14
DAY3 (0281),ACE,DAYTHREE DIGITAL BERHAD,Consumer Services ,170.40m,0.36,-,0.00,-
DAYANG (5141),MAIN,DAYANG ENTERPRISE HOLDINGS BERHAD,"Energy Infrastructure, Equipment & Services ",2.790b,2.41,12.74,1.87,13.22
DCHCARE (0283),ACE,DC HEALTHCARE HOLDINGS BERHAD,Health Care Providers ,293.91m,0.30,113.46,0.00,4.33
DELEUM (5132),MAIN,DELEUM BERHAD,"Energy Infrastructure, Equipment & Services ",550.13m,1.37,12.03,3.83,11.06
DESTINI (7212),MAIN,DESTINI BERHAD,Industrial Engineering ,149.72m,0.03,-,0.00,-
DFCITY (5165),MAIN,DFCITY GROUP BERHAD,Building Materials ,32.20m,0.31,-,0.00,-3.73
DFX (0131),ACE,DIVFEX BERHAD,Digital Services ,104.40m,0.14,18.18,0.00,0.17
DGB (0152),ACE,DGB ASIA BERHAD,Software ,18.82m,0.10,-,0.00,-4280.00
DIALOG (7277),MAIN,DIALOG GROUP BERHAD,"Energy Infrastructure, Equipment & Services ",13.099b,2.32,24.34,1.59,9.41
DIGISTA (0029),MAIN,DIGISTAR CORPORATION BERHAD,Digital Services ,30.38m,0.07,-,0.00,-260.00
DIN045801028 (0400GB),DANAINFRA NASIONAL-ETBS4.58%1028,Islamic-gg ,104.00m,104.00,-,0.00,-,
DKLS (7528),MAIN,DKLS INDUSTRIES BHD,Construction ,174.28m,1.88,6.21,1.60,6.33
DKSH (5908),MAIN,DKSH HOLDINGS (MALAYSIA) BERHAD,Consumer Services ,744.15m,4.72,6.73,6.78,12.39
DLADY (3026),MAIN,DUTCH LADY MILK INDUSTRIES BERHAD,Food & Beverages ,2.134b,33.34,29.48,1.50,16.56
DNEX (4456),MAIN,DAGANG NEXCHANGE BERHAD,Digital Services ,1.057b,0.34,-,1.79,-
